Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,497.741431256813
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5396.2142432843
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4530.10174483631
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,13672.576657298
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,41328.6004978373
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2191.34776433537
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,18730.0047966374
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9963.67416171662
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4828.50488626598
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.8098183195
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,55049.571919719
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,50067.5857265892
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.75371765917
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,32173.9581814182
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,25869.1129129041
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2122.03765230231
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,19156.0398672282
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,6837.76832136779
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,46641.7214017087
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6134.21523305713
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1170.88599492622
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,116153.166121638
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3564.59877149986
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3472.38083136442
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6094.72482322311
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6691.16084579207
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8845.32414932264
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30748.3092371228
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,9874.33632625168
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,765.229560401644
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,216.972970900616
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3903.05031683625
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1671.3854000919
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1538.5630625108
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46352.8693445211
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,89846.3210991824
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,426.408753120209
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,701.621201027424
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,58564.3500973853
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,14616.2072513761
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,10143.8602206165
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6436.50921493811
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1510.7973237214
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,575.882781366465
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2508.94044443477
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12669.3411549351
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2309.31358341573
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,15218.5258037621
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9139.38051005519
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19220.6866958303
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29419.9921875
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,23664.8478631108
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,59592.9806886454
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,2876.04366371536
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,8561.58701121461
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,8173.34469885261
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6203.72705079758
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3017.25833578941
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,4280.28840404719
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,7317.39002617962
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,23581.656836882
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3843.38004601919
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,840.449601255171
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,63203.7447848956
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5927.72418996345
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,48629.8582283032
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40494.8982936276
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,20093.2085805567
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7523.8622784598
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,722.875356284026
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4741.2832715876
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,46805.1384334439
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2167.92527597794
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,19143.8876174584
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,53309.2035905065
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9887.92074235834
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,37687.3991839833
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,4647.80754129437
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1043.89988618266
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,754.381639420495
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,6477.29672607993
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1345.4750547884
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,2498.50918635232
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,48359.0011950597
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16786.2136399075
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,68452.23622306
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2050.16380022056
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4151.22755440796
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,3276.75326508226
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5621.18169491752
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,80848.3019020489
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,87152.4652554167
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,44452.2325623093
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33673.7509627421
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5626.1704590766
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40415.9567649547
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4159.6537537759
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,9812.59552626324
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1970.08007048615
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1745.7324153971
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.4169048194
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4416.02925267842
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,31230.1729499142
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1451.51563835807
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2598.50579475158
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,17883.3494113217
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,8925.42186017072
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1074.1340466189
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,665.878447568436
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,10972.902519068
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,167259.160311816
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,19615.5491450175
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,112726.439672814
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,82998.6361006441
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,512.27966560241
